id_disciplina,descricao,chs,cht,chs_ead
335,"Design de Interfaces Gráficas",2,40,0
336,"Métodos Ordenação e Pesquisa",2,40,0
337,"Sistemas Digitais",2,40,0
338,"Tecnologias da Informação e Meio Ambiente",2,40,0
339,"Projeto e Análise de Algoritmos",2,40,0
340,"AAIFE - Ação de Extensão I",2,40,0
341,"Introdução à Gestão Ambiental",1,20,0
342,"AAIFE - Ação de Extensão II",2,40,0
343,"AAIFE - Ação de Extensão III",4,80,0
344,"Cafeicultura Ecológica",2,40,0
345,"Controle Biológico",2,40,0
346,"Relações Humanas e Diversidade",2,40,0
347,"Gestão de Áreas Naturais",2,40,0
348,"Tópicos especiais",2,40,0
349,"Programação Web I",2,40,0
350,"Engenharia de Software",2,40,0
351,"FIC - Agricultor Orgânico",8,160,0
352,"FIC - Auxiliar de Fiscalização Ambiental (Presencial)",8,160,0
353,"FIC - Auxiliar de Fiscalização Ambiental (EAD)",8,160,8
354,"FIC - Montador e Reparador de Computador (EAD)",8,160,8
355,"FIC – Programador WEB (EAD)",8,160,8
356,"Ambientação em Educação à Distância",1,20,1
357,"Introdução à Informática",2,40,2
358,"Introdução ao agronegócio",3,60,3
359,"Gestão do Negócio e Empreendedorismo",4,80,4
360,"Contabilidade Básica",2,40,2
361,"Gestão de pessoas ",2,40,2
362,"Manejo e conservação do solo e da água",4,80,4
363,"Fundamentos da Matemática",2,40,2
364,"Administração de Marketing e Serviços",2,40,2
365,"Sistemas e técnicas de produção agropecuárias",3,60,3
366,"Português Aplicado",2,40,2
367,"Administração Financeira",3,60,3
368,"Gestão de Processamento de Produtos de Origem Vegetal e Animal",4,80,4
369,"Administração de custos e riscos ",2,40,2
370,"Gestão da Qualidade",2,40,2
371,"Gestão de Projetos ",2,40,2
372,"Geotecnologias ",3,60,3
373,"Saúde, higiene e segurança do trabalho",3,60,3
374,"Matemática Financeira",4,80,4
375,"Sustentabilidade no Agronegócio",2,40,2
376,Cafeicultura,2,40,2
377,"Projeto Integrador",2,40,2
378,Libras,2,40,2
379,"Legislação Ambiental",2,40,2
380,"Gestão de empresas rurais",2,40,2
381,"Associativismo e cooperativismo",2,40,2
382,"Estatística Básica",2,40,2
383,"Mecanização e Sistema de Automação no Agronegócio",2,40,2
384,"Sustentabilidade nas Organizações",2,40,2
385,"Agricultura Familiar",2,40,2
386,"Economia e negócios",2,40,2
387,"Tecnologias da Informação aplicadas ao Agronegócio",2,40,2
